# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tmpwecy8pwh_model
# start_datetime = 2026-05-01 14:59:25 UTC
# method = laplace
#   laplace
#     mode = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260501_155911/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace_optimize/bayes_gp_rbf_screened-20260501155922.csv
#     jacobian = false
#     draws = 2000
#     calculate_lp = true (Default)
# id = 1 (Default)
# data
#   file = /var/folders/_z/jd9jlzfs0md6nvlwttph63x00000gn/T/tmpa8cj8_xa/b_wwe00e.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260501_155911/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace/bayes_gp_rbf_screened-20260501155925.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=bayes_gp_rbf_screened.stan
log_p__,log_q__,alpha,signal_scale,lengthscale,sigma
-334.78094,-1.1532511,-5.7716675,5.6768419,3.6596346,0.59907504
-334.88049,-1.4294263,-5.3528234,7.1470323,3.9485827,0.61339228
-338.79198,-4.8641709,-5.644522,5.3128487,3.7390161,0.58206052
-335.5867,-2.0070412,-6.1922478,6.0123041,3.506207,0.57997793
-334.68918,-1.1292126,-5.3589209,6.5987863,3.7282453,0.59921745
-334.74833,-1.0846339,-4.4397181,5.4943038,3.6629257,0.61389069
-334.7605,-1.2530528,-4.8718554,7.177747,4.2095744,0.62324737
-334.78738,-1.1595189,-4.091507,5.775961,3.7880542,0.61201093
-335.70531,-2.0926667,-5.4934585,6.5653588,4.2748956,0.63697024
-334.00708,-0.43707547,-5.5369113,6.1612356,3.8790953,0.66504374
-335.45761,-1.8981506,-5.1855501,6.7208832,4.3639714,0.66273454
-333.84546,-0.26530582,-5.352095,5.9700112,3.7303389,0.61499262
-334.11409,-0.52846906,-5.8429738,5.7596855,3.665116,0.6575549
-335.90975,-2.3559222,-3.2995171,6.3544513,4.1900609,0.6305407
-334.40245,-0.797866,-4.5773317,6.2379041,3.9698629,0.61697935
-336.79001,-3.4249431,-2.0188691,6.3352612,3.7925318,0.6592158
-333.74176,-0.16429421,-5.1337156,6.1925877,3.9462191,0.64832468
-335.76069,-2.4073611,-6.3952996,6.8689855,4.1217232,0.60795837
-339.68464,-6.2511735,-3.6772524,6.3967924,3.4674401,0.52841331
-335.70656,-2.4548896,-5.1834657,7.5947611,4.4573938,0.66604183
-336.95437,-2.7392387,-7.5618747,5.140882,3.5314899,0.68219798
-335.65313,-2.0411705,-4.1245879,6.8018987,4.3883677,0.65088526
-336.57915,-3.71144,-3.7134077,8.5016381,4.554088,0.63975583
-333.97603,-0.45434434,-3.8414578,6.5241379,3.9892961,0.64131729
-335.68287,-2.2465629,-5.9676569,6.5706379,4.2399349,0.69912945
-334.88248,-1.4073374,-6.2985799,6.6103259,3.8169903,0.60437225
-335.66195,-2.4621194,-2.6672998,7.1898185,4.3887751,0.64695378
-335.90485,-2.3783953,-5.2828334,5.8481454,3.8321843,0.71197832
-334.45846,-0.97411521,-5.1890966,7.0631762,4.0985123,0.62340436
-333.91804,-0.32395661,-4.201308,5.8991095,3.7471485,0.6272032
-336.95007,-3.0715764,-7.4278167,5.4670391,3.5330779,0.68389319
-334.53764,-1.0314256,-5.421637,6.8671864,4.1968638,0.64188424
-334.70323,-1.2946483,-3.1577386,6.5635775,3.9880419,0.66045154
-334.12811,-0.55390627,-5.3553303,6.2617043,3.7333557,0.60400136
-335.55526,-2.1277398,-6.0983248,6.876519,4.0839164,0.60262778
