dataset,representation,model,method,split,seed,nominal_coverage,empirical_coverage
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.5,0.6307692307692307
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.8,0.8923076923076924
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.9,0.9538461538461539
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,test,30,0.95,0.9846153846153847
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.5,0.7875243664717348
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.8,0.9376218323586745
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.9,0.9571150097465887
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,train,12,0.95,0.9688109161793372
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.5,0.625
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.8,0.859375
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.9,0.90625
freesolv,moladt_featurized,bayes_gp_rbf_screened,laplace,valid,18,0.95,0.921875
