# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tmpwecy8pwh_model
# start_datetime = 2026-05-06 14:11:24 UTC
# method = laplace
#   laplace
#     mode = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260506_151111/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace_optimize/bayes_gp_rbf_screened-20260506151121.csv
#     jacobian = false
#     draws = 2000
#     calculate_lp = true (Default)
# id = 1 (Default)
# data
#   file = /var/folders/_z/jd9jlzfs0md6nvlwttph63x00000gn/T/tmpt33m0mqj/ubmgx4m3.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260506_151111/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace/bayes_gp_rbf_screened-20260506151124.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=bayes_gp_rbf_screened.stan
log_p__,log_q__,alpha,signal_scale,lengthscale,sigma
-337.90437,-1.1532511,-5.6843669,5.5498218,3.6304713,0.59817799
-338.00201,-1.4294263,-5.2419591,7.0019983,3.9329471,0.61295208
-341.92485,-4.8641709,-5.5477051,5.1909386,3.7023944,0.58063574
-338.67705,-2.0070412,-6.1508542,5.8442678,3.464809,0.57848971
-337.80309,-1.1292126,-5.2898714,6.4421703,3.7004619,0.59832488
-337.87696,-1.0846339,-4.3667903,5.3859438,3.6412898,0.6134666
-337.8836,-1.2530528,-4.7175982,7.0623559,4.2057755,0.62312828
-337.9148,-1.1595189,-4.0105619,5.6649729,3.7681204,0.61152615
-338.85912,-2.0926667,-5.2894885,6.4856384,4.2806365,0.63730713
-337.13152,-0.43707547,-5.3749466,6.0884771,3.888205,0.66634469
-338.64862,-1.8981506,-4.9583545,6.6667353,4.3868514,0.66395463
-336.96793,-0.26530582,-5.2556293,5.8507911,3.7106877,0.6146042
-337.2372,-0.52846906,-5.7114731,5.6768882,3.6646187,0.65859464
-339.03836,-2.3559222,-3.162076,6.2689301,4.1898483,0.63066268
-337.52554,-0.797866,-4.4575997,6.1285415,3.9566538,0.6166554
-339.89567,-3.4249431,-1.9649428,6.2464409,3.7963174,0.66031323
-336.86703,-0.16429421,-4.9810768,6.1099372,3.9488609,0.6490465
