# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tmpwecy8pwh_model
# start_datetime = 2026-05-06 14:35:08 UTC
# method = laplace
#   laplace
#     mode = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260506_153459/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace_optimize/bayes_gp_rbf_screened-20260506153506.csv
#     jacobian = false
#     draws = 2000
#     calculate_lp = true (Default)
# id = 1 (Default)
# data
#   file = /var/folders/_z/jd9jlzfs0md6nvlwttph63x00000gn/T/tmpl428d0bz/nmskysre.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260506_153459/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace/bayes_gp_rbf_screened-20260506153508.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=bayes_gp_rbf_screened.stan
log_p__,log_q__,alpha,signal_scale,lengthscale,sigma
-328.25269,-1.1532511,-5.9881838,5.4444397,3.3080117,0.53606885
-328.3678,-1.4294263,-5.5876914,6.8302613,3.5992193,0.55160723
-332.28242,-4.8641709,-5.8546825,5.1009139,3.355322,0.51770434
-329.06044,-2.0070412,-6.4814821,5.6991594,3.1381114,0.51546416
-328.17512,-1.1292126,-5.6550414,6.283723,3.3718708,0.53622302
-328.2303,-1.0846339,-4.7386011,5.2994984,3.3330771,0.55214954
-328.23748,-1.2530528,-5.060164,6.9099275,3.8601436,0.5623473
-328.26956,-1.1595189,-4.408466,5.567483,3.4470722,0.55010472
-329.23687,-2.0926667,-5.5419363,6.3819574,3.9448431,0.57736182
-327.487,-0.43707547,-5.6172692,6.0042416,3.6126127,0.60828846
-329.052,-1.8981506,-5.2016036,6.5750234,4.0727637,0.60573406
-327.31872,-0.26530582,-5.575668,5.7408738,3.3976773,0.55334883
-327.58969,-0.52846906,-5.9462235,5.5994897,3.3978625,0.60001122
-329.38297,-2.3559222,-3.5775953,6.1690253,3.8539296,0.57031857
-327.87666,-0.797866,-4.8158134,6.0161437,3.6248493,0.55551225
-330.21713,-3.4249431,-2.4806566,6.1445667,3.5215125,0.60184528
-327.21996,-0.16429421,-5.2645522,6.0177206,3.6514555,0.58983649
-329.24927,-2.4073611,-6.4753667,6.5930599,3.7521558,0.54570079
-332.99786,-6.2511735,-4.3540553,5.9510058,3.0251451,0.46054864
-329.27359,-2.4548896,-5.2198217,7.3960985,4.1678608,0.60939311
-330.35551,-2.7392387,-7.4548913,5.0441609,3.3036337,0.62732215
-329.2123,-2.0411705,-4.2609738,6.6342537,4.0761285,0.59265606
-330.02873,-3.71144,-3.9585699,8.1890966,4.2143634,0.58041795
-327.44558,-0.45434434,-4.1165036,6.3158769,3.6814862,0.58213229
-329.29505,-2.2465629,-5.8704429,6.4745449,4.0118023,0.64620742
-328.37629,-1.4073374,-6.468772,6.3142049,3.4622737,0.54180888
-329.13114,-2.4621194,-2.971767,6.9838649,4.0698232,0.58832788
-329.4617,-2.3783953,-5.2986823,5.7708028,3.6344072,0.66060331
-327.93314,-0.97411521,-5.3716819,6.7916778,3.755953,0.56251868
-327.39591,-0.32395661,-4.5001849,5.6957957,3.4316368,0.56666842
-330.38404,-3.0715764,-7.3556142,5.3474982,3.3073834,0.62920859
-328.03307,-1.0314256,-5.5080157,6.6562213,3.8790642,0.58275496
-328.1541,-1.2946483,-3.4653995,6.3804448,3.709764,0.60321048
-327.59849,-0.55390627,-5.6189323,5.9886776,3.3839033,0.54140665
-329.03543,-2.1277398,-6.2282147,6.586111,3.7079828,0.53991741
-327.25502,-0.1992573,-5.414965,5.5849067,3.4769757,0.59643939
-329.20131,-1.7043949,-4.1045352,5.0816442,3.1762137,0.56369515
-330.60519,-3.7726439,-5.8993392,4.8689521,2.7691792,0.51205829
-331.86294,-4.3608622,-6.9551829,4.6508648,2.8962291,0.60232501
-329.45466,-2.9508912,-4.3499852,7.7879732,4.0161115,0.59042691
-329.21892,-2.1571782,-3.6278358,5.7770222,3.4539771,0.61686586
-331.20369,-4.1769401,-1.940862,5.7245185,3.6106913,0.59920377
-329.85666,-2.8368149,-7.2329289,5.8507045,3.4607607,0.62452705
-327.65136,-0.63407263,-4.4272873,6.4612954,3.6513191,0.55501453
-328.80567,-1.6641192,-5.2263838,5.9938112,3.7190701,0.5567734
-337.87985,-8.6556854,-1.4835413,5.4724132,3.0251292,0.54876949
-327.31612,-0.28291636,-5.6522773,6.2002621,3.652775,0.58724988
-329.63559,-2.3734609,-5.4102855,4.752952,2.9231747,0.53301899
-330.43261,-3.1393144,-4.1681676,6.6980518,4.0328036,0.55803973
-327.91819,-0.88064207,-5.1950836,5.5494925,3.2662987,0.53258193
-328.00821,-1.1245621,-3.9837421,6.856409,3.7140123,0.56372985
-329.33378,-2.0065966,-6.9060966,5.1146358,3.3294317,0.62537527
-336.53103,-6.9389021,-8.9603856,5.03302,2.8821781,0.57385434
-333.19657,-5.5915372,-2.0307569,5.2843134,3.6131579,0.61408097
-330.51724,-3.3763426,-3.8741764,6.0258007,3.1331913,0.53729236
-328.79078,-1.7483886,-5.042622,5.3622389,3.3609929,0.62921942
-328.28569,-1.1857802,-3.8996175,5.8885132,3.3197138,0.55507616
-327.92232,-0.82239615,-6.047558,5.3185737,3.4091892,0.61255423
-328.46413,-1.2209372,-4.9938134,4.9841563,3.2667892,0.5735635
-330.96647,-3.9989707,-4.5415636,6.7571438,3.3838969,0.57432506
-327.64584,-0.5881746,-4.7352383,5.8190952,3.5825858,0.61558579
-328.28532,-1.2804572,-6.2403275,6.0853098,3.7677718,0.62465277
-329.99983,-2.1280369,-7.3545907,4.91578,3.0157731,0.55436137
-328.37636,-1.4884926,-6.4483246,6.4136398,3.64009,0.60101446
-328.91893,-1.734949,-5.1941159,5.0150198,3.3799358,0.57309831
-328.3518,-1.2975845,-4.2412966,5.8378607,3.6232602,0.63056083
-328.40627,-1.3690555,-5.3479379,6.665977,3.7984081,0.55297803
-327.52256,-0.42288212,-6.2155933,5.5057851,3.3341821,0.58264263
-327.10209,-0.049365348,-5.4289507,5.903411,3.5532513,0.58543485
-328.29851,-1.0946569,-4.6442768,5.1812309,3.1832468,0.57489139
-332.98665,-5.8804015,-6.4115673,6.4915288,4.2603167,0.60069625
-327.87461,-0.80569181,-5.5083881,6.1380909,3.7636686,0.57998404
-329.74408,-2.5127432,-7.0222424,5.3204395,3.2075097,0.6101254
-327.46911,-0.41236302,-5.8765529,5.6737305,3.5647599,0.60290989
-329.52195,-2.2048596,-4.1129401,5.2982057,3.0709064,0.53056723
-328.08544,-0.99763802,-6.2534041,5.6501626,3.3281278,0.53670077
-328.93938,-1.9431351,-3.3674934,5.8940128,3.5868886,0.62011464
-328.14086,-1.1124296,-6.2103241,6.2400783,3.3989242,0.54825406
-328.94603,-2.1485175,-2.9779603,6.1618642,3.8273767,0.61882751
-330.12509,-2.2104346,-7.6580785,5.0289189,3.1499878,0.58424806
-331.11765,-4.0487015,-6.818727,6.1513726,3.1053344,0.50484456
-328.43076,-1.4612263,-4.4029719,6.9697128,4.0038027,0.61604805
