seed,split,mol_id
0,train,mobley_1017962
0,train,mobley_1034539
0,train,mobley_1046331
0,train,mobley_1075836
0,train,mobley_1079207
0,train,mobley_1139153
0,train,mobley_1144156
0,train,mobley_1160109
0,train,mobley_1189457
0,train,mobley_1199854
0,train,mobley_1231151
0,train,mobley_1235151
0,train,mobley_1261349
0,train,mobley_1278715
0,train,mobley_129464
0,train,mobley_1323538
0,train,mobley_1352110
0,train,mobley_1363784
0,train,mobley_1396156
0,train,mobley_1417007
0,train,mobley_1424265
0,train,mobley_1449384
0,train,mobley_1520842
0,train,mobley_1527293
0,train,mobley_1563176
0,train,mobley_1571523
0,train,mobley_1592519
0,train,mobley_1615431
0,train,mobley_1636752
0,train,mobley_1650157
0,train,mobley_1659169
0,train,mobley_1674094
0,train,mobley_1708457
0,train,mobley_1717215
0,train,mobley_1722522
0,train,mobley_1723043
0,train,mobley_1728386
0,train,mobley_172879
0,train,mobley_1733799
0,train,mobley_1735893
0,train,mobley_1743409
0,train,mobley_1760914
0,train,mobley_1770205
0,train,mobley_1781152
0,train,mobley_1792062
0,train,mobley_1800170
0,train,mobley_1821184
0,train,mobley_1827204
0,train,mobley_1838110
0,train,mobley_1849020
0,train,mobley_1855337
0,train,mobley_1857976
0,train,mobley_1858644
0,train,mobley_186894
0,train,mobley_1875719
0,train,mobley_1881249
0,train,mobley_1893815
0,train,mobley_1893937
0,train,mobley_1896013
0,train,mobley_1899443
0,train,mobley_1905088
0,train,mobley_1922649
0,train,mobley_1929982
0,train,mobley_1944394
0,train,mobley_1952272
0,train,mobley_1963873
0,train,mobley_1967551
0,train,mobley_197466
0,train,mobley_1976156
0,train,mobley_1977493
0,train,mobley_1987439
0,train,mobley_2008055
0,train,mobley_2023925
0,train,mobley_2043882
0,train,mobley_2049967
0,train,mobley_20524
0,train,mobley_2068538
0,train,mobley_2078467
0,train,mobley_210639
0,train,mobley_2123854
0,train,mobley_2126135
0,train,mobley_2143011
0,train,mobley_2146331
0,train,mobley_2178600
0,train,mobley_2183616
0,train,mobley_2197088
0,train,mobley_2213823
0,train,mobley_2245668
0,train,mobley_2261979
0,train,mobley_2279874
0,train,mobley_2295058
0,train,mobley_2310185
0,train,mobley_2328633
0,train,mobley_2354112
0,train,mobley_2364370
0,train,mobley_2371092
0,train,mobley_2390199
0,train,mobley_2402487
0,train,mobley_2410897
0,train,mobley_2422586
0,train,mobley_242480
0,train,mobley_2451097
0,train,mobley_2481002
0,train,mobley_2484519
0,train,mobley_2487143
0,train,mobley_2492140
0,train,mobley_2501588
0,train,mobley_2517158
0,train,mobley_252413
0,train,mobley_2577969
0,train,mobley_2607611
0,train,mobley_2613240
0,train,mobley_2636578
0,train,mobley_2659552
0,train,mobley_2681549
0,train,mobley_2689721
0,train,mobley_2725215
0,train,mobley_2725802
0,train,mobley_2727678
0,train,mobley_2751110
0,train,mobley_2763835
0,train,mobley_2771569
0,train,mobley_2782339
0,train,mobley_2789243
0,train,mobley_2802855
0,train,mobley_282648
0,train,mobley_2837389
0,train,mobley_2844990
0,train,mobley_2845466
0,train,mobley_2850833
