variant_code,variant,description,split,n_splits,n_eval_mean,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,mean_log_predictive_density_mean,coverage_90_mean,predictive_sd_mean,wl_token_count,system_token_count,feature_count
A,atom_bag,"atoms only, no connectivity",train,20,577.0,1.6726741073395417,0.04282446156166223,1.2474149079400405,0.0319135948247592,0.8110583146442701,-1.9608209901134646,0.9499133448873482,1.9190018736579435,11,0,11
A,atom_bag,"atoms only, no connectivity",valid,20,64.0,1.9477094179065653,0.2610479129142246,1.5103190509059767,0.13065933056673118,0.7320040378276235,-2.106100917969711,0.92421875,2.0091081809127744,11,0,11
A,atom_bag,"atoms only, no connectivity",test,20,65.0,1.8567621743660048,0.36128505213155737,1.3757245369732374,0.15302802193498255,0.7438718160385072,-2.0732994655130472,0.9338461538461539,2.0177529299201806,11,0,11
B,simple_graph_wl,atoms plus binary adjacency,train,20,577.0,0.02220825647348529,0.005411164164498319,0.010309494684100353,0.002704254100346106,0.9999647944384895,0.7997216478433471,1.0,0.18247557826563,7956,0,7956
B,simple_graph_wl,atoms plus binary adjacency,valid,20,64.0,1.1826963839286955,0.1513002440007859,0.7811472530971212,0.087321099753613,0.8996592068061379,-1.522129121379599,0.93203125,1.4337058661885167,7956,0,7956
B,simple_graph_wl,atoms plus binary adjacency,test,20,65.0,1.060009511477834,0.13108158548780643,0.7193417273313699,0.06739048631323408,0.9165119803690291,-1.476451198928424,0.9415384615384615,1.428659211020745,7956,0,7956
C,bond_order_graph_wl,one edge per atom pair with effective bond-order labels,train,20,577.0,0.02197680610057707,0.005324748183056446,0.00999730625038242,0.002609403253360193,0.9999655436671102,0.8002355477646537,1.0,0.1823886005711159,8168,0,8168
C,bond_order_graph_wl,one edge per atom pair with effective bond-order labels,valid,20,64.0,1.1790101755196392,0.15067035994625527,0.7830502084101774,0.08332358104814058,0.9003508721931365,-1.5277831248614218,0.93515625,1.4598223585064327,8168,0,8168
C,bond_order_graph_wl,one edge per atom pair with effective bond-order labels,test,20,65.0,1.048695247808904,0.1419480790931875,0.712184734890223,0.07319085856487707,0.918224263523163,-1.4785743229429475,0.9430769230769231,1.4521171493626637,8168,0,8168
D,multigraph_multiplicity_wl,parallel-edge-style multiplicity from effective bond order,train,20,577.0,0.02197304310492798,0.005405060097299164,0.010523646846968339,0.002778798822825643,0.9999655037222119,0.8183851056346942,1.0,0.17900169769590796,7918,0,7918
D,multigraph_multiplicity_wl,parallel-edge-style multiplicity from effective bond order,valid,20,64.0,1.1498301637158628,0.15388195298081941,0.7642624088725526,0.08661992022819409,0.9050198750915971,-1.4914344071777417,0.9375,1.392650026670037,7918,0,7918
D,multigraph_multiplicity_wl,parallel-edge-style multiplicity from effective bond order,test,20,65.0,1.0199741355732383,0.12272278002465516,0.6902179422289861,0.0657120026342293,0.9223400705042604,-1.4431683888092879,0.9392307692307693,1.394149244723076,7918,0,7918
E,dietz_edge_wl,Dietz-derived edge labels without a separate bonding-system view,train,20,577.0,0.021978635676492338,0.005324989534593156,0.00999874700745605,0.002609556180445631,0.9999655380808669,0.8001936917408955,1.0,0.18239624845053293,8169,0,8169
E,dietz_edge_wl,Dietz-derived edge labels without a separate bonding-system view,valid,20,64.0,1.178996608041412,0.1507870879690566,0.7829738667798625,0.08332066019616276,0.9003468763950808,-1.5277979101457189,0.93515625,1.4597686956694162,8169,0,8169
E,dietz_edge_wl,Dietz-derived edge labels without a separate bonding-system view,test,20,65.0,1.0485914748975271,0.14207839510701237,0.7120892977988007,0.0732143710283048,0.9182434082714197,-1.4785740504396094,0.9430769230769231,1.452062848937958,8169,0,8169
F,full_moladt,Dietz edge labels plus explicit bonding-system token view,train,20,577.0,0.036592842096351184,0.007542500193042365,0.020627144998969966,0.004654127611846072,0.9999057346623152,0.6379105077277137,0.9986135181975737,0.2092525343086396,8169,227,8396
F,full_moladt,Dietz edge labels plus explicit bonding-system token view,valid,20,64.0,0.9820555199826974,0.17422652490675392,0.6370054338531552,0.08582697668713989,0.9306296921192942,-1.280519420874466,0.92578125,1.0843024873032525,8169,227,8396
F,full_moladt,Dietz edge labels plus explicit bonding-system token view,test,20,65.0,0.9037701831291745,0.1676862456900038,0.5940061869365356,0.08663753392131311,0.9392862541623993,-1.2580265718315704,0.9284615384615386,1.1036457376910092,8169,227,8396
