variant_code,variant,description,seed,split,n_eval,wl_token_count,system_token_count,feature_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,nll
A,atom_bag,"atoms only, no connectivity",0,train,577,11,0,11,1.5396323661305027,1.163768379471041,0.8303991281000477,-1.8817820585217813,0.9462738301559792,1.7788948464489553,466.73170243158864
A,atom_bag,"atoms only, no connectivity",0,valid,64,11,0,11,1.871370661194678,1.3733000675071318,0.812209201133435,-2.0338916230440907,0.875,1.9145306682756598,432.8358893893458
A,atom_bag,"atoms only, no connectivity",0,test,65,11,0,11,3.047949363413094,1.6361797981384953,0.5716194544252959,-2.84769485137566,0.9230769230769231,1.8541083435111418,466.73170243158864
A,atom_bag,"atoms only, no connectivity",1,train,577,11,0,11,1.7170270266370071,1.2882081943333517,0.8086814584928141,-1.9866709233616344,0.951473136915078,1.9627587685931305,486.6440633683735
A,atom_bag,"atoms only, no connectivity",1,valid,64,11,0,11,2.3617009367310504,1.7898186327857484,0.7192969773031925,-2.3561182171753217,0.890625,2.0972443383983044,434.56605603179406
A,atom_bag,"atoms only, no connectivity",1,test,65,11,0,11,1.5707694538385846,1.129183971694159,0.7231980592640453,-1.90879082718181,0.9846153846153847,2.0599251432336714,486.6440633683735
A,atom_bag,"atoms only, no connectivity",2,train,577,11,0,11,1.6704968189381855,1.2276783217791243,0.8183716927204749,-1.9589700779942567,0.9428076256499134,1.9092518277677384,472.01304605523734
A,atom_bag,"atoms only, no connectivity",2,valid,64,11,0,11,1.8266041098725292,1.5458595744160881,0.8082382153947918,-2.053796365625686,0.9375,1.9861209487463183,433.09545733712554
A,atom_bag,"atoms only, no connectivity",2,test,65,11,0,11,2.0496929389663143,1.6182150703985794,0.5626568784624109,-2.1440875491266245,0.8923076923076924,2.088188504952605,472.01304605523734
A,atom_bag,"atoms only, no connectivity",3,train,577,11,0,11,1.6910229282946845,1.2622430394082587,0.8061792933448471,-1.9710159849851498,0.9566724436741768,1.9384479973747972,493.63720333013157
A,atom_bag,"atoms only, no connectivity",3,valid,64,11,0,11,1.7989020452533493,1.4551602981420797,0.7083547156904,-2.0310474905778224,0.96875,2.052908667412553,444.0614688103206
A,atom_bag,"atoms only, no connectivity",3,test,65,11,0,11,1.7245966886351591,1.3715418768550445,0.8006049309007652,-1.9897160069348034,0.9230769230769231,1.986866122302537,493.63720333013157
A,atom_bag,"atoms only, no connectivity",4,train,577,11,0,11,1.66735354115662,1.2514835518630762,0.8156527188018925,-1.959225603057491,0.9549393414211439,1.920917879845172,485.4158790424901
A,atom_bag,"atoms only, no connectivity",4,valid,64,11,0,11,2.2917471599028727,1.6138505899754922,0.6957718421564802,-2.2703382509510255,0.890625,1.9734567096120312,432.1505062205192
A,atom_bag,"atoms only, no connectivity",4,test,65,11,0,11,1.7498408348206083,1.2809165044160977,0.747547262131218,-2.0080815598123802,0.9384615384615385,1.9293624324862797,485.4158790424901
A,atom_bag,"atoms only, no connectivity",5,train,577,11,0,11,1.6801959745291237,1.2597623844891717,0.8025363131408154,-1.9675687023081996,0.951473136915078,1.9344045825975857,505.68349846920944
A,atom_bag,"atoms only, no connectivity",5,valid,64,11,0,11,1.8991389535119647,1.4301329067163162,0.683257338641393,-2.017588769506541,0.96875,2.085802703463381,458.0909155438953
A,atom_bag,"atoms only, no connectivity",5,test,65,11,0,11,1.6001266585781901,1.2408364472332598,0.8658104993713003,-1.9453359270937207,0.9692307692307692,2.0497732008513823,505.68349846920944
A,atom_bag,"atoms only, no connectivity",6,train,577,11,0,11,1.6608517617858662,1.2428848499732206,0.8044305182819396,-1.9513558659170605,0.9532062391681109,1.8966281889077743,491.49663571818826
A,atom_bag,"atoms only, no connectivity",6,valid,64,11,0,11,2.284345130836266,1.759346609093476,0.7166855153799125,-2.3000219454957556,0.875,1.8913088937154106,439.27853172955986
A,atom_bag,"atoms only, no connectivity",6,test,65,11,0,11,2.143636964996119,1.476384930471486,0.7783634146161714,-2.18832368177961,0.8923076923076924,2.0277854028824973,491.49663571818826
A,atom_bag,"atoms only, no connectivity",7,train,577,11,0,11,1.7311260878322372,1.3071205297374253,0.8084051649240481,-1.9934289307812894,0.9532062391681109,1.9778781036345485,485.4846292672741
A,atom_bag,"atoms only, no connectivity",7,valid,64,11,0,11,1.576363500640968,1.3379487065757047,0.7068504773449833,-1.9538032886651064,0.984375,2.0982836006645496,437.46916913963884
