dataset,representation,model,feature_rank,feature_name
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,1,smiles_atom_count_c
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,2,smiles_atom_count_n
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,3,smiles_atom_count_o
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,4,smiles_atom_count_f
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,5,smiles_atom_count_p
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,6,smiles_atom_count_s
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,7,smiles_atom_count_cl
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,8,smiles_atom_count_br
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,9,smiles_atom_count_i
freesolv,moladt_small_descriptors,atom_bag10_rbf_gp,10,smiles_atom_count_h
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,1,smiles_atom_count_c
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,2,smiles_atom_count_n
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,3,smiles_atom_count_o
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,4,smiles_atom_count_f
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,5,smiles_atom_count_p
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,6,smiles_atom_count_s
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,7,smiles_atom_count_cl
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,8,smiles_atom_count_br
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,9,smiles_atom_count_i
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,10,smiles_atom_count_h
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,11,smiles_bond_count_single
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,12,smiles_bond_count_aromatic
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,13,smiles_bond_count_double
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,14,smiles_bond_count_triple
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,15,smiles_bond_count_total
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,16,smiles_heavy_atom_count
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,17,smiles_component_count
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,18,smiles_cycle_rank
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,19,smiles_heavy_degree_mean
freesolv,moladt_small_descriptors,adjacency_graph20_rbf_gp,20,smiles_heavy_degree_max
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,1,smiles_atom_count_c
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,2,smiles_atom_count_n
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,3,smiles_atom_count_o
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,4,smiles_atom_count_f
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,5,smiles_atom_count_p
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,6,smiles_atom_count_s
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,7,smiles_atom_count_cl
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,8,smiles_atom_count_br
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,9,smiles_atom_count_i
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,10,smiles_atom_count_h
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,11,smiles_bond_count_single
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,12,smiles_bond_count_aromatic
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,13,smiles_bond_count_double
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,14,smiles_bond_count_triple
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,15,smiles_bond_count_total
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,16,smiles_heavy_atom_count
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,17,smiles_component_count
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,18,smiles_cycle_rank
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,19,smiles_heavy_degree_mean
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,20,smiles_heavy_degree_max
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,21,weight
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,22,polar
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,23,surface
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,24,donor_count
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,25,acceptor_count
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,26,bonding_system_count
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,27,multicentre_system_count
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,28,pi_ring_system_count
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,29,system_shared_electrons_sum
freesolv,moladt_small_descriptors,moladt_full30_rbf_gp,30,aprdf_system_edge_1p5a
