dataset,representation,target,model,method,parameter_type,parameter_name,feature_group,equation_term,draw_count,runtime_seconds,posterior_mean,posterior_abs_mean,posterior_sd,posterior_median,posterior_p05,posterior_p95,importance_rank
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.20822083299572114,1.8372974682525267,1.8372974682525267,0.0,1.8372974682525267,1.8372974682525267,1.8372974682525267,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.20822083299572114,1.4701243807813917,1.4701243807813917,0.0,1.4701243807813917,1.4701243807813917,1.4701243807813917,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.20822083299572114,0.10587829322559206,0.10587829322559206,0.0,0.10587829322559206,0.10587829322559206,0.10587829322559206,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.20822083299572114,-3.749566724436742,3.749566724436742,0.0,-3.749566724436742,-3.749566724436742,-3.749566724436742,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.20822083299572114,3.738548266350003,3.738548266350003,0.0,3.738548266350003,3.738548266350003,3.738548266350003,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.22310100000322564,1.7115345621614082,1.7115345621614082,0.0,1.7115345621614082,1.7115345621614082,1.7115345621614082,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.22310100000322564,1.2818272266473112,1.2818272266473112,0.0,1.2818272266473112,1.2818272266473112,1.2818272266473112,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.22310100000322564,0.08961357090218887,0.08961357090218887,0.0,0.08961357090218887,0.08961357090218887,0.08961357090218887,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.22310100000322564,-3.861681109185441,3.861681109185441,0.0,-3.861681109185441,-3.861681109185441,-3.861681109185441,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.22310100000322564,3.9255327093981456,3.9255327093981456,0.0,3.9255327093981456,3.9255327093981456,3.9255327093981456,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.2212510419994942,1.7218611348084565,1.7218611348084565,0.0,1.7218611348084565,1.7218611348084565,1.7218611348084565,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.2212510419994942,1.223852164913288,1.223852164913288,0.0,1.223852164913288,1.223852164913288,1.223852164913288,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.2212510419994942,0.07579556132665298,0.07579556132665298,0.0,0.07579556132665298,0.07579556132665298,0.07579556132665298,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.2212510419994942,-3.8159792027729633,3.8159792027729633,0.0,-3.8159792027729633,-3.8159792027729633,-3.8159792027729633,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.2212510419994942,3.9197095336249537,3.9197095336249537,0.0,3.9197095336249537,3.9197095336249537,3.9197095336249537,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.2088186670007417,1.7010945226643972,1.7010945226643972,0.0,1.7010945226643972,1.7010945226643972,1.7010945226643972,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.2088186670007417,1.3556752576351703,1.3556752576351703,0.0,1.3556752576351703,1.3556752576351703,1.3556752576351703,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.2088186670007417,0.09562271265870086,0.09562271265870086,0.0,0.09562271265870086,0.09562271265870086,0.09562271265870086,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.2088186670007417,-3.840623916811092,3.840623916811092,0.0,-3.840623916811092,-3.840623916811092,-3.840623916811092,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.2088186670007417,3.841045129516745,3.841045129516745,0.0,3.841045129516745,3.841045129516745,3.841045129516745,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.2100849999987986,1.7841227235714514,1.7841227235714514,0.0,1.7841227235714514,1.7841227235714514,1.7841227235714514,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.2100849999987986,1.4258973185458357,1.4258973185458357,0.0,1.4258973185458357,1.4258973185458357,1.4258973185458357,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.2100849999987986,0.08938481181996646,0.08938481181996646,0.0,0.08938481181996646,0.08938481181996646,0.08938481181996646,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.2100849999987986,-3.81317157712305,3.81317157712305,0.0,-3.81317157712305,-3.81317157712305,-3.81317157712305,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.2100849999987986,3.8833749762626835,3.8833749762626835,0.0,3.8833749762626835,3.8833749762626835,3.8833749762626835,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.22751783399871783,1.6675521078654767,1.6675521078654767,0.0,1.6675521078654767,1.6675521078654767,1.6675521078654767,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.22751783399871783,1.354335677173395,1.354335677173395,0.0,1.354335677173395,1.354335677173395,1.354335677173395,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.22751783399871783,0.09556289364266843,0.09556289364266843,0.0,0.09556289364266843,0.09556289364266843,0.09556289364266843,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.22751783399871783,-3.7891334488734834,3.7891334488734834,0.0,-3.7891334488734834,-3.7891334488734834,-3.7891334488734834,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.22751783399871783,3.7810839428508647,3.7810839428508647,0.0,3.7810839428508647,3.7810839428508647,3.7810839428508647,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.2030939589967602,1.6736725996766921,1.6736725996766921,0.0,1.6736725996766921,1.6736725996766921,1.6736725996766921,1
