model,seed,split,mol_id
atom_bag10_rbf_gp,0,train,mobley_1017962
atom_bag10_rbf_gp,0,train,mobley_1034539
atom_bag10_rbf_gp,0,train,mobley_1046331
atom_bag10_rbf_gp,0,train,mobley_1075836
atom_bag10_rbf_gp,0,train,mobley_1079207
atom_bag10_rbf_gp,0,train,mobley_1139153
atom_bag10_rbf_gp,0,train,mobley_1144156
atom_bag10_rbf_gp,0,train,mobley_1160109
atom_bag10_rbf_gp,0,train,mobley_1189457
atom_bag10_rbf_gp,0,train,mobley_1199854
atom_bag10_rbf_gp,0,train,mobley_1231151
atom_bag10_rbf_gp,0,train,mobley_1235151
atom_bag10_rbf_gp,0,train,mobley_1261349
atom_bag10_rbf_gp,0,train,mobley_1278715
atom_bag10_rbf_gp,0,train,mobley_129464
atom_bag10_rbf_gp,0,train,mobley_1323538
atom_bag10_rbf_gp,0,train,mobley_1352110
atom_bag10_rbf_gp,0,train,mobley_1363784
atom_bag10_rbf_gp,0,train,mobley_1396156
atom_bag10_rbf_gp,0,train,mobley_1417007
atom_bag10_rbf_gp,0,train,mobley_1424265
atom_bag10_rbf_gp,0,train,mobley_1449384
atom_bag10_rbf_gp,0,train,mobley_1520842
atom_bag10_rbf_gp,0,train,mobley_1527293
atom_bag10_rbf_gp,0,train,mobley_1563176
atom_bag10_rbf_gp,0,train,mobley_1571523
atom_bag10_rbf_gp,0,train,mobley_1592519
atom_bag10_rbf_gp,0,train,mobley_1615431
atom_bag10_rbf_gp,0,train,mobley_1636752
atom_bag10_rbf_gp,0,train,mobley_1650157
atom_bag10_rbf_gp,0,train,mobley_1659169
atom_bag10_rbf_gp,0,train,mobley_1674094
atom_bag10_rbf_gp,0,train,mobley_1708457
atom_bag10_rbf_gp,0,train,mobley_1717215
atom_bag10_rbf_gp,0,train,mobley_1722522
atom_bag10_rbf_gp,0,train,mobley_1723043
atom_bag10_rbf_gp,0,train,mobley_1728386
atom_bag10_rbf_gp,0,train,mobley_172879
atom_bag10_rbf_gp,0,train,mobley_1733799
atom_bag10_rbf_gp,0,train,mobley_1735893
atom_bag10_rbf_gp,0,train,mobley_1743409
atom_bag10_rbf_gp,0,train,mobley_1760914
atom_bag10_rbf_gp,0,train,mobley_1770205
atom_bag10_rbf_gp,0,train,mobley_1781152
atom_bag10_rbf_gp,0,train,mobley_1792062
atom_bag10_rbf_gp,0,train,mobley_1800170
atom_bag10_rbf_gp,0,train,mobley_1821184
atom_bag10_rbf_gp,0,train,mobley_1827204
atom_bag10_rbf_gp,0,train,mobley_1838110
atom_bag10_rbf_gp,0,train,mobley_1849020
atom_bag10_rbf_gp,0,train,mobley_1855337
