rank,formula,predicted_freesolv,predictive_sd,target_error,bayesian_credible_score_percent,score,atoms,heavy_atoms,edges,dietz_bonding_systems,min_bond_length_angstrom,max_bond_length_angstrom,min_nonbonded_distance_angstrom,min_bond_angle_degrees,seed_molecule,random_seed,target_freesolv
1,C2H4Cl2O,-4.596813705893803,0.7423270175831912,0.403186294106197,76.19541951043239,-0.2718688365139025,9,5,8,8,0.9600000000000001,1.7700000000000002,1.5132085117392116,88.16540894921502,water,0,-5.0
2,C2H5ClO,-4.592610917043779,0.7406725294351547,0.4073890829562208,76.16560429608495,-0.27226021239184206,9,4,8,8,0.9600000000000001,1.7499999999999998,1.5132085117392116,88.16540894921502,water,0,-5.0
3,CH5N,-4.509301448634628,0.7930121435105058,0.4906985513653721,72.77086652261957,-0.31785449600974125,7,2,6,6,1.0099999999999998,1.4700000000000002,1.5132085117392116,89.99999999999999,water,0,-5.0
4,C3H6ClFO2,-4.935597191095464,0.9536306846986649,0.06440280890453565,72.29005190957399,-0.3244836609020807,13,7,12,12,0.9600000000000001,1.7700000000000002,1.5132085117392116,70.52877936550931,water,0,-5.0
5,C2H4Cl2O2,-4.895879670755318,0.956240616296304,0.10412032924468217,72.06998199660357,-0.32753256685608023,10,6,9,9,0.9600000000000001,1.7700000000000002,1.5132085117392116,86.69390954246511,water,0,-5.0
6,H2FN,-4.677819704150095,0.9911949789555013,0.32218029584990493,69.18745200018567,-0.36835066928373034,4,2,3,3,1.0099999999999998,1.48,1.428355697996826,90.0,water,0,-5.0
7,C4H9ClO2,-5.537368918026259,0.9104661672087179,0.5373689180262593,68.33052212677502,-0.38081363597222023,16,7,15,15,0.9600000000000001,1.7700000000000002,1.5132085117392116,70.52877936550931,water,0,-5.0
8,CH4ClN,-4.3958445740232275,0.8583035402100123,0.6041554259767725,68.31263763345878,-0.38107540529092954,7,3,6,6,1.01,1.7499999999999998,1.5132085117392116,89.99999999999999,water,0,-5.0
9,CH3ClFNO,-5.153618520795628,1.0700419202114277,0.15361852079562777,67.90447451428413,-0.3870682550043171,8,5,7,7,1.0699999999999998,1.48,1.5132085117392116,90.0,water,0,-5.0
10,ClFO,-4.463046985792872,0.9571401563834318,0.5369530142071284,67.00616598553857,-0.4003855411966882,3,3,2,2,1.43,1.48,2.91,180.0,water,0,-5.0
11,C3H6Cl2O,-4.206645957101886,0.7260690838567065,0.7933540428981143,65.85068834116997,-0.41778030468456706,12,6,11,11,0.9600000000000001,1.7700000000000002,1.5132085117392116,74.00610347827923,water,0,-5.0
12,C5H11ClO2,-5.423546910035359,1.107547691590105,0.42354691003535905,64.36922791790741,-0.4405344944353421,19,8,18,18,0.9600000000000001,1.7700000000000002,1.4436803252197834,70.52877936550931,water,0,-5.0
13,C5H11FO2,-5.423521964240447,1.107558340152689,0.42352196424044664,64.36921987190732,-0.4405346194329667,19,8,18,18,0.9600000000000001,1.7700000000000002,1.4436803252197834,70.52877936550931,water,0,-5.0
14,C10H14ClNO,-4.6293723864065,1.1724415042381162,0.37062761359350027,63.04369876108235,-0.5613420689191554,27,13,27,28,1.0699999999999994,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
15,C3H7ClO2,-5.729379874409991,0.9816813150756901,0.7293798744099913,62.320971768443954,-0.4728721913436418,13,6,12,12,0.9600000000000001,1.7700000000000002,1.5132085117392116,86.69390954246511,water,0,-5.0
16,H3N,-4.155058924477472,0.8827016599196271,0.8449410755225282,61.34192927916916,-0.48870657557668856,4,1,3,3,1.01,1.01,1.630394949699546,107.63219484137731,water,0,-5.0
17,HClFN,-4.26390117330556,1.2169337708178702,0.7360988266944402,56.920326154989894,-0.563517682723301,4,3,3,3,1.0099999999999998,1.48,1.7507141400011594,90.0,water,0,-5.0
18,C10H14ClNO,-4.724873605489488,1.4214581461120472,0.2751263945105116,56.82190376334919,-0.6652483049605544,27,13,27,28,1.01,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
19,C9H11ClFNO,-4.336609431851412,1.2743483664987263,0.6633905681485883,56.76772531955226,-0.6662022379620587,24,13,24,25,1.01,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
20,C9H10ClFO2,-5.728345506038112,1.2602541159973264,0.7283455060381119,56.103644455829105,-0.6779694120074654,23,13,23,24,0.96,2.1453170846329614,1.4758929877262337,70.52877936550931,water,0,-5.0
21,C2H5FO2,-5.803182652365029,1.2057324359305874,0.8031826523650292,55.97487871171114,-0.5802671903352561,10,5,9,9,0.96,1.4300000000000002,1.5132085117392116,90.0,water,0,-5.0
22,HClO,-4.053906969048634,1.0622054450326763,0.9460930309513662,55.546902467890355,-0.5879424326112523,3,2,2,2,0.96,1.69,2.65,180.0,water,0,-5.0
23,HFO,-4.053906969048634,1.0622054450326763,0.9460930309513662,55.546902467890355,-0.5879424326112523,3,2,2,2,0.96,1.48,2.44,180.0,water,0,-5.0
24,HClO,-4.053906969048634,1.0622054450326763,0.9460930309513662,55.546902467890355,-0.5879424326112523,3,2,2,2,0.9599999999999997,1.48,2.4399999999999995,180.0,water,0,-5.0
25,CH4ClNO2,-5.365333660852892,1.4507404499116445,0.3653336608528921,55.54675277471708,-0.5879451275117478,9,5,8,8,0.9599999999999997,1.48,1.5132085117392116,90.0,water,0,-5.0
26,C9H11Cl2NO,-4.391676995223852,1.362813508571195,0.6083230047761479,55.44997290330064,-0.6896889608608945,24,13,24,25,1.01,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
27,C6H14O2,-5.9206747478647515,1.1158007155661278,0.9206747478647515,55.25901308185321,-0.593138726191696,22,8,21,21,0.9600000000000001,1.7700000000000002,1.1099776228500409,62.48765192554867,water,0,-5.0
28,CH3ClFNO2,-5.642617051518239,1.3604920159041898,0.642617051518239,55.08741972252758,-0.5962488130930683,9,6,8,8,0.9599999999999999,1.7699999999999998,1.6326909070683855,80.09093730650397,water,0,-5.0
29,C3H7F2NO,-5.808252556871204,1.2573965841195647,0.8082525568712038,54.845544819116995,-0.6006492273767594,14,7,13,13,0.9599999999999999,1.54,1.5132085117392116,82.04331282049797,water,0,-5.0
30,H2ClNO2,-5.2929086231102,1.5549331107383537,0.2929086231101996,53.41640773897824,-0.62705222618739,6,4,5,5,1.0099999999999998,1.4800000000000002,1.428355697996826,90.0,water,0,-5.0
31,C4H10FNO2,-5.783525148005074,1.470436735645615,0.783525148005074,51.032764428983015,-0.6727023197558811,18,8,17,17,0.9600000000000001,1.5400000000000003,1.4399194212720876,77.91585509895684,water,0,-5.0
32,C4H9F2NO2,-5.2502190543952265,1.6676356446965064,0.2502190543952265,51.00355315249124,-0.6732748860338924,18,9,17,17,0.9599999999999999,1.69,1.5132085117392116,82.04331282049797,water,0,-5.0
33,CH3ClFNO2,-6.004152046900138,1.3340999588290285,1.0041520469001384,50.02947276015476,-0.6925578990173283,9,6,8,8,0.9600000000000001,1.48,1.4399194212720876,79.86825719601678,water,0,-5.0
34,C8H9ClFNO2,-5.849794732143975,1.4885716592377418,0.8497947321439749,49.84134664734478,-0.796325292464907,22,13,22,23,0.96,2.1453170846329614,1.4758929877262337,70.52877936550931,water,0,-5.0
35,C11H16ClNO,-4.160309202937142,1.5273040492473537,0.8396907970628584,49.27917645303118,-0.9076685784886851,30,14,30,31,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
36,C9H11ClFNO2,-5.557720927354028,1.6906362012767215,0.557720927354028,48.89881540451786,-0.915417014657177,25,14,25,26,0.9600000000000001,2.1453170846329614,1.5132085117392116,78.6338856163236,water,0,-5.0
37,C2H6O2,-6.146736394491253,1.224680540527955,1.1467363944912528,48.62019046185645,-0.7211312997516278,10,4,9,9,0.96,1.4300000000000002,1.5132085117392116,90.0,water,0,-5.0
38,C5H12FNO2,-5.402869462429037,1.7597182186844764,0.4028694624290372,48.43782267614511,-0.7248892171956544,21,9,20,20,0.9600000000000001,1.5400000000000003,1.4399194212720876,77.91585509895684,water,0,-5.0
39,C9H11ClFNO2,-5.557785097524478,1.715074514543728,0.5577850975244782,48.420536446254765,-0.9252461555173541,25,14,25,26,0.96,2.1453170846329614,1.4758929877262337,70.52877936550931,water,0,-5.0
40,C3H8FNO2,-6.151234304418071,1.3020689969183843,1.1512343044180708,47.63396923385601,-0.7416240399034842,15,7,14,14,0.9600000000000001,1.5400000000000003,1.4399194212720876,79.86825719601678,water,0,-5.0
41,HClFNO2,-4.136139076359339,1.608274778922389,0.8638609236406607,47.58605480909477,-0.7426304338691845,6,5,5,5,1.0099999999999998,1.48,1.9801535105625963,112.5,water,0,-5.0
42,HClO2,-3.970602793990737,1.5234857018042651,1.0293972060092629,46.78194036401025,-0.759672947196965,4,3,3,3,0.96,1.4800000000000002,2.4400000000000004,180.0,water,0,-5.0
43,C10H13ClFNO,-3.8914004310329458,1.4462246947768584,1.1085995689670542,46.62168942606542,-0.9631043148117273,27,14,27,28,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
44,C5H11F2NO2,-4.60020385507175,1.8812809633163896,0.3997961449282501,46.117227665902114,-0.7739836037144134,21,10,20,20,0.9599999999999999,1.69,1.3672126973992094,79.41737012748415,water,0,-5.0
45,C6H14FNO2,-4.674280394294765,1.899582870692039,0.3257196057052347,46.049521336430175,-0.7754528177722818,24,10,23,23,0.9600000000000001,1.5400000000000003,1.4399194212720876,77.91585509895684,water,0,-5.0
46,C10H14ClNO2,-5.7257943249932115,1.7795388479079886,0.7257943249932115,45.98839545938994,-0.9767810939470447,28,14,28,29,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
47,C11H16ClNO,-3.9328889688013975,1.6316058997699745,1.0671110311986025,44.731314474590896,-1.0044963821074497,30,14,30,31,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
48,C10H14ClNO2,-5.8576234118886354,1.796911104942688,0.8576234118886354,44.57784501392874,-1.007933198949137,28,14,28,29,0.9600000000000001,2.1453170846329614,1.5132085117392116,78.6338856163236,water,0,-5.0
49,C12H19NO,-4.236118249799863,1.8598345600396042,0.7638817502001372,44.357341813814934,-1.012891948344328,33,14,33,34,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
50,C11H16FNO,-3.92215380641183,1.6490067800236223,1.07784619358817,44.35522987483011,-1.0129395614152834,30,14,30,31,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
51,C4H9F2NO,-3.674374764971625,1.2532237247026488,1.325625235028375,44.313903329832925,-0.8138717132587936,17,8,16,16,1.0699999999999998,1.69,1.5132085117392116,82.04331282049797,water,0,-5.0
52,C4H11NO2,-5.462735527876639,1.9791520207040083,0.46273552787663874,44.12572182455622,-0.8181273122382621,18,7,17,17,1.0099999999999998,1.5400000000000003,1.428355697996826,70.52877936550931,water,0,-5.0
53,CH2ClFO,-3.6009450590229846,0.8816774116529743,1.3990549409770154,43.24882520066158,-0.8382001159696075,6,4,5,5,1.0699999999999998,1.48,1.5132085117392118,90.0,water,0,-5.0
54,CH2F2O,-3.6009450590229846,0.8816774116529743,1.3990549409770154,43.24882520066158,-0.8382001159696075,6,4,5,5,1.0699999999999998,1.48,1.5132085117392118,90.0,water,0,-5.0
55,C2H6FNO2,-6.390461606573284,1.2500457562546714,1.3904616065732842,42.83808214267178,-0.8477427093221459,12,6,11,11,0.9599999999999999,1.54,1.5132085117392116,80.09093730650397,water,0,-5.0
56,C3H8FNO,-6.418015806530596,1.0690465102913953,1.4180158065305957,42.730831951326834,-0.850249466563192,14,6,13,13,0.9599999999999999,1.54,1.5132085117392116,80.09093730650397,water,0,-5.0
