dataset,representation,model,method,seed,epoch,train_loss,valid_rmse,valid_mae
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,1,0.2230518329154206,0.40233421325683594,0.2651762366294861
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,2,0.03570329813618244,0.23021966218948364,0.16004420816898346
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,3,0.022998982585917628,0.16850270330905914,0.1158798411488533
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,4,0.022676195082529542,0.1744978278875351,0.12319071590900421
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,5,0.015815772652501416,0.155571848154068,0.10656587034463882
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,6,0.014324915193949283,0.14782163500785828,0.10651953518390656
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,7,0.008754522704075368,0.1601138412952423,0.10867740958929062
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,8,0.010815961327316994,0.13112995028495789,0.09042210876941681
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,9,0.010158759895645375,0.19309687614440918,0.14010809361934662
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,10,0.009846532435558086,0.11182969063520432,0.07573144137859344
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,11,441.3828722588524,0.1720387190580368,0.09803327172994614
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,12,1.3462261859623252,0.12879545986652374,0.0886208787560463
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,13,0.007083419023449961,0.10678829997777939,0.07182462513446808
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,14,0.006716585926029479,0.11235883831977844,0.07557406276464462
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,15,0.005088357503271106,0.11486344784498215,0.08142121881246567
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,16,0.004965592286434901,0.08826950192451477,0.05952988192439079
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,17,0.0051098530107871,0.08949608355760574,0.05926784127950668
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,18,0.005072012584013341,0.1456213891506195,0.10196027904748917
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,19,0.00828676998407748,0.10025898367166519,0.06899479031562805
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,20,0.004241565017646074,0.09012280404567719,0.0579599104821682
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,21,0.0035948415098794187,0.09224335849285126,0.05783456563949585
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,22,0.002727253176995165,0.08785854279994965,0.062061652541160583
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,23,0.004778986048451853,0.08142451196908951,0.05450333654880524
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,24,0.003412656308838312,0.08579385280609131,0.0549536794424057
qm9,moladt_featurized_geom,visnet_ensemble,deep_ensemble,102,25,0.0035283804808274857,0.10129696875810623,0.07007236033678055
